,1,2,3,4,5,6,7,8,9,10
萬,0.012395254,0,0,0,0,0,0,0,0,0
號列為,0.012395254,0,0,0,0,0,0,0,0,0
表示,0.001920049,0.002811875,0.00337425,0.00546256,0,0,0.004324144,0.001628396,0,0.001413663
補助,0.006481215,0.018983231,0,0,0,0,0,0,0,0.004771884
複合肥料,0.012395254,0,0,0,0,0,0,0,0,0
觀察,0.012395254,0,0,0,0,0,0,0,0,0
該部,0.012395254,0,0,0,0,0,0,0,0,0
課徵,0.045368504,0.009491615,0,0,0,0.011503083,0,0,0,0
調查,0.005760147,0.002811875,0.004217813,0,0,0.005111654,0.002162072,0.022797546,0,0.008481975
調查結果,0.008663911,0,0,0,0,0,0,0,0,0.006378923
調查過程,0.012395254,0,0,0,0,0,0,0,0,0
費用,0.006481215,0.009491615,0,0,0,0,0,0,0,0.004771884
貿易局,0.01119403,0.010928962,0,0,0.003460208,0,0,0.003164557,0,0.008241758
資訊,0.012395254,0,0,0,0,0,0,0,0,0
起,0.004932568,0.007223651,0.002167095,0,0,0,0.011108639,0,0,0
越南,0.032406075,0,0,0.00737565,0,0,0,0,0.004185459,0
越盾,0.049581016,0,0,0,0,0,0,0,0,0
較,0.004932568,0.007223651,0,0,0.002287073,0,0,0.004183317,0,0
追蹤,0.012395254,0,0,0,0,0,0,0,0,0
退稅,0.012395254,0,0,0,0,0,0,0,0,0
透過,0.002749872,0.004027134,0.002416281,0.003129366,0,0,0,0,0.003551641,0.004049262
進口,0.007680197,0.014059376,0.00337425,0.001092512,0,0,0.004324144,0.006513584,0,0.011309301
適用範圍,0.012395254,0,0,0,0,0,0,0,0,0
防衛,0.051849719,0,0,0,0,0,0,0.01649018,0,0.009543767
除,0.003731343,0,0,0,0,0,0.008403361,0.003164557,0.002409639,0.002747253
隨時,0.012395254,0,0,0,0,0,0,0,0,0
養分,0.024790508,0,0,0,0,0,0,0,0,0
駐外,0.008663911,0,0,0,0,0,0,0,0,0.006378923
atlas,0,0.018152613,0,0,0,0,0,0,0,0
global,0,0.018152613,0,0,0,0,0,0,0,0
trade,0,0.012688132,0,0,0,0.007688504,0,0,0,0
不_,0,0.036305225,0,0,0,0,0,0,0,0
中國,0,0.012081403,0.00120814,0,0.002550054,0.00732085,0,0.009328678,0,0.002024631
之不_,0,0.036305225,0,0,0,0,0,0,0,0
介於,0,0.018152613,0,0,0,0,0,0,0,0
來源國,0,0.009491615,0,0,0,0,0,0.005496727,0,0.004771884
係,0,0.007223651,0,0.002806641,0,0.004377245,0,0,0.003185369,0
公報,0,0.009491615,0,0,0,0.011503083,0,0,0,0.004771884
出口,0,0.004027134,0.007248842,0.001564683,0.001275027,0,0,0.00233217,0,0.004049262
分別,0,0.009491615,0.005694969,0,0,0,0.01459635,0,0,0
前,0,0.012688132,0.007612879,0,0,0,0,0,0,0
動,0,0.018152613,0,0,0,0,0,0,0,0
十大,0,0.018152613,0,0,0,0,0,0,0,0
協助,0,0.009491615,0,0,0.003005131,0,0.007298175,0,0,0
反傾銷,0,0.025376263,0,0,0,0,0,0.044087242,0,0
反傾銷稅,0,0.018152613,0,0,0,0,0,0,0,0
受理,0,0.018152613,0,0,0,0,0,0,0,0
另為,0,0.018152613,0,0,0,0,0,0,0,0
台灣,0,0.009491615,0,0,0,0.005751542,0,0,0.012556378,0
同業公會,0,0.018152613,0,0,0,0,0,0,0,0
同類產品,0,0.012688132,0,0,0,0,0,0,0,0.006378923
呼籲,0,0.009491615,0,0,0,0,0,0.005496727,0,0.004771884
啟,0,0.018152613,0,0,0,0,0,0,0,0
啟動,0,0.018983231,0,0,0.003005131,0.005751542,0,0,0,0
因,0,0.012688132,0.003806439,0,0,0,0,0,0,0
土,0,0.018152613,0,0,0,0,0,0,0,0
土國,0,0.036305225,0,0,0,0,0,0,0,0
土耳其,0,0.037966461,0,0,0.003005131,0,0,0,0,0.004771884
大陸,0,0.012081403,0.00120814,0,0.001275027,0.00732085,0,0.009328678,0,0.002024631
如,0,0.005464481,0.003278689,0,0.001730104,0.003311258,0,0,0,0.002747253
將,0,0.002811875,0.005061375,0.002185024,0.004451325,0.008519423,0.004324144,0,0.003719806,0
屆期,0,0.018152613,0,0,0,0,0,0,0,0
已將,0,0.018152613,0,0,0,0,0,0,0,0
年,0,0.012081403,0.007248842,0.001564683,0.001275027,0.004880567,0,0,0,0.004049262
應訴,0,0.018152613,0,0,0,0,0,0,0,0
提出申請,0,0.018152613,0,0,0,0,0,0,0,0
據,0,0.012688132,0,0,0,0,0,0.014695747,0,0
政府,0,0.005464481,0,0.006369427,0,0,0.004201681,0.003164557,0.004819277,0
數量,0,0.012688132,0,0,0,0,0,0,0,0.006378923
會員,0,0.009491615,0.002847485,0.03687825,0,0,0,0,0,0
本案,0,0.004027134,0.004832561,0,0,0.004880567,0.01548247,0.009328678,0,0.010123154
權益,0,0.007223651,0.002167095,0,0,0,0,0.008366634,0,0.003631671
比例,0,0.018152613,0,0,0,0,0,0,0,0
為期,0,0.018152613,0,0,0,0,0,0,0,0
爰,0,0.012688132,0,0,0,0,0,0.007347874,0,0
率,0,0.018152613,0,0,0,0,0,0,0,0
發布,0,0.004027134,0.00120814,0,0.002550054,0.002440283,0.003096494,0,0,0.004049262
相對,0,0.018152613,0,0,0,0,0,0,0,0
相關,0,0.012081403,0.002416281,0,0,0.004880567,0.003096494,0.011660848,0,0.006073892
稅號,0,0.018152613,0,0,0,0,0,0,0,0
積極,0,0.018983231,0,0,0.006010262,0,0,0,0,0.004771884
競爭力,0,0.018152613,0,0,0,0,0,0,0,0
第,0,0.009491615,0,0,0,0.005751542,0,0,0,0.004771884
答辯,0,0.054457838,0,0,0,0,0,0,0,0
維持,0,0.012688132,0,0.004929784,0,0,0,0,0,0
維護,0,0.009491615,0.002847485,0,0,0,0,0,0,0.004771884
自,0,0.028894603,0,0,0,0,0.00555432,0.008366634,0,0.007263341
萬美元,0,0.009491615,0.002847485,0,0,0,0,0.005496727,0,0
落日,0,0.054457838,0,0,0,0,0,0,0,0
號,0,0.018152613,0,0,0,0,0,0,0,0
被,0,0.018152613,0,0,0,0,0,0,0,0
複查,0,0.054457838,0,0,0,0,0,0,0,0
訂有,0,0.018152613,0,0,0,0,0,0,0,0
訊息,0,0.009491615,0,0,0,0,0,0.005496727,0.004185459,0
課稅,0,0.012688132,0,0,0,0.007688504,0,0,0,0
資料,0,0.018152613,0,0,0,0,0,0,0,0
轉知,0,0.009491615,0,0,0,0,0,0.005496727,0,0.004771884
辦法,0,0.018152613,0,0,0,0,0,0,0,0
通知,0,0.018152613,0,0,0,0,0,0,0,0
部分,0,0.005464481,0.001639344,0.006369427,0,0,0.004201681,0.003164557,0,0
金額,0,0.018983231,0.011389938,0,0,0,0,0,0,0.004771884
鋼管,0,0.050752527,0.003806439,0,0,0,0,0,0,0
鋼鐵工業,0,0.018152613,0,0,0,0,0,0,0,0
鋼鐵業,0,0.012688132,0.003806439,0,0,0,0,0,0,0
附件,0,0.007223651,0,0,0,0.004377245,0,0.004183317,0,0.003631671
顯示,0,0.009491615,0,0,0.003005131,0,0,0,0,0.004771884
高,0,0.009491615,0,0.003687825,0.003005131,0,0,0,0,0
gibson,0,0,0.005445784,0,0,0,0,0,0,0
oecd,0,0,0.005445784,0,0,0,0,0,0,0
steel,0,0,0.005445784,0,0,0,0,0,0,0
tomas,0,0,0.005445784,0,0,0,0,0,0,0
wto,0,0,0.026645076,0,0,0.023065511,0,0,0,0
一,0,0,0.008542454,0,0,0.011503083,0,0,0.004185459,0
一直,0,0,0.005445784,0,0,0,0,0,0,0
三,0,0,0.003806439,0,0,0.015377007,0,0,0,0
三國,0,0,0.005445784,0,0,0,0,0,0,0
三方,0,0,0.005445784,0,0,0,0,0,0,0
下,0,0,0.003806439,0.004929784,0,0,0,0,0,0
下列,0,0,0.003806439,0,0,0.007688504,0,0,0,0
不,0,0,0.011419318,0,0,0.007688504,0,0,0,0
並與,0,0,0.005445784,0,0,0,0,0,0,0
中,0,0,0.003806439,0.004929784,0,0,0,0,0,0
主要,0,0,0.002847485,0,0,0,0,0,0.004185459,0.004771884
之鋁,0,0,0.005445784,0,0,0,0,0,0,0
之鋼,0,0,0.005445784,0,0,0,0,0,0,0
事會,0,0,0.010891568,0,0,0,0,0,0,0
二,0,0,0.011419318,0,0,0.015377007,0,0,0,0
交換意見,0,0,0.005445784,0,0,0,0,0,0,0
代表,0,0,0.002847485,0,0,0.011503083,0.01459635,0,0,0
代表團,0,0,0.005445784,0,0,0,0,0,0,0
以及,0,0,0.002167095,0,0.002287073,0,0,0,0.006370738,0.003631671
伊利諾,0,0,0.005445784,0,0,0,0,0,0,0
佔,0,0,0.007612879,0,0,0,0,0.007347874,0,0
使用,0,0,0.005445784,0,0,0,0,0,0,0
例如,0,0,0.005694969,0,0.003005131,0,0,0,0,0.004771884
例會,0,0,0.005445784,0,0,0,0,0,0,0
保持,0,0,0.005445784,0,0,0,0,0,0,0
保護主義,0,0,0.003806439,0.004929784,0,0,0,0,0,0
修改,0,0,0.005445784,0,0,0,0,0,0,0
價,0,0,0.005445784,0,0,0,0,0,0,0
億元,0,0,0.010891568,0,0,0,0,0,0,0
億美元,0,0,0.002847485,0,0.006010262,0,0,0,0,0.004771884
兆,0,0,0.003806439,0.009859567,0,0,0,0,0,0
免於,0,0,0.005445784,0,0,0,0,0,0,0
內,0,0,0.001639344,0.002123142,0,0.006622517,0.004201681,0,0,0.010989011
全球,0,0,0.00433419,0.008419924,0.018296583,0,0,0,0,0.018158353
公布,0,0,0.013002571,0,0,0.017508981,0.011108639,0.008366634,0,0
公平,0,0,0.007612879,0,0,0.007688504,0,0,0,0
其,0,0,0.007612879,0,0,0,0,0.007347874,0,0
其他,0,0,0.005694969,0.00737565,0,0,0.007298175,0,0,0
別,0,0,0.005694969,0,0.003005131,0,0.007298175,0,0,0
則,0,0,0.005445784,0,0,0,0,0,0,0
前述,0,0,0.007612879,0,0,0.023065511,0,0,0,0
創造,0,0,0.002847485,0.003687825,0.003005131,0,0,0,0,0
加,0,0,0.003806439,0.004929784,0,0,0,0,0,0
加徵,0,0,0.005694969,0,0,0.005751542,0.01459635,0,0,0
加拿大,0,0,0.007612879,0,0.004017177,0,0,0,0,0
包括,0,0,0.001639344,0,0.003460208,0.003311258,0.004201681,0,0.002409639,0
十分,0,0,0.005445784,0,0,0,0,0,0,0
協商,0,0,0.003806439,0,0.004017177,0,0,0,0,0
協會,0,0,0.003806439,0,0,0.007688504,0,0,0,0
危機,0,0,0.005445784,0,0,0,0,0,0,0
即,0,0,0.002847485,0.003687825,0,0,0,0,0,0.004771884
及鋁,0,0,0.010891568,0,0,0,0,0,0,0
反應,0,0,0.005445784,0,0,0,0,0,0,0
另,0,0,0.004918033,0,0.001730104,0.003311258,0,0.003164557,0,0.005494505
另外,0,0,0.005445784,0,0,0,0,0,0,0
召開,0,0,0.003806439,0.004929784,0,0,0,0,0,0
可向,0,0,0.003806439,0,0,0,0.009756,0,0,0
各國,0,0,0.008668381,0.005613283,0.002287073,0,0.011108639,0,0,0
各界,0,0,0.005445784,0,0,0,0,0,0,0
同意,0,0,0.005445784,0,0,0,0,0,0,0
咸,0,0,0.005445784,0,0,0,0,0,0,0
品第,0,0,0.005445784,0,0,0,0,0,0,0
商務,0,0,0.003806439,0,0,0,0.009756,0,0,0
商務部,0,0,0.003806439,0,0,0,0.009756,0,0,0
問題,0,0,0.005445784,0,0,0,0,0,0,0
回應,0,0,0.005445784,0,0,0,0,0,0,0
國內,0,0,0.003278689,0.012738854,0.006920415,0,0.004201681,0.009493671,0,0
國安,0,0,0.011419318,0,0,0,0.019512001,0,0,0
國家,0,0,0.006040702,0.001564683,0.010200216,0,0.018578965,0,0.003551641,0.004049262
國會議員,0,0,0.005445784,0,0,0,0,0,0,0
國防,0,0,0.005445784,0,0,0,0,0,0,0
基於,0,0,0.010891568,0,0,0,0,0,0,0
境內,0,0,0.002847485,0,0,0,0.007298175,0,0,0.009543767
墨,0,0,0.010891568,0,0,0,0,0,0,0
墨西哥,0,0,0.010891568,0,0,0,0,0,0,0
外銷,0,0,0.010891568,0,0,0,0,0,0,0
大,0,0,0.005445784,0,0,0,0,0,0,0
如下,0,0,0.005445784,0,0,0,0,0,0,0
委員會,0,0,0.005445784,0,0,0,0,0,0,0
安全,0,0,0.011419318,0,0,0,0.009756,0,0,0
密切注意,0,0,0.002847485,0,0,0.005751542,0,0,0,0.004771884
將使,0,0,0.005445784,0,0,0,0,0,0,0
將對,0,0,0.005445784,0,0,0,0,0,0,0
將自本,0,0,0.005445784,0,0,0,0,0,0,0
對加,0,0,0.005445784,0,0,0,0,0,0,0
對抗,0,0,0.005445784,0,0,0,0,0,0,0
對於,0,0,0.003278689,0.004246285,0,0,0.004201681,0,0.002409639,0.002747253
就,0,0,0.005694969,0,0,0.005751542,0,0,0,0.004771884
就業,0,0,0.003806439,0.004929784,0,0,0,0,0,0
川普,0,0,0.014237423,0,0,0.011503083,0.01459635,0,0,0
州,0,0,0.005445784,0,0,0,0,0,0,0
已經,0,0,0.005445784,0,0,0,0,0,0,0
市場,0,0,0.002416281,0.003129366,0.001275027,0,0,0.004664339,0.003551641,0.002024631
廠,0,0,0.005445784,0,0,0,0,0,0,0
建築業,0,0,0.005445784,0,0,0,0,0,0,0
建議,0,0,0.003806439,0,0,0.038442518,0,0,0,0
引發,0,0,0.005445784,0,0,0,0,0,0,0
後,0,0,0.00433419,0.008419924,0,0.004377245,0,0,0,0.007263341
後果,0,0,0.005445784,0,0,0,0,0,0,0
從,0,0,0.003806439,0,0,0,0,0,0,0.006378923
情形,0,0,0.003806439,0,0,0,0,0,0,0.006378923
情況,0,0,0.005445784,0,0,0,0,0,0,0
惡化,0,0,0.005445784,0,0,0,0,0,0,0
感謝,0,0,0.005445784,0,0,0,0,0,0,0
應,0,0,0.007612879,0,0,0,0,0.007347874,0,0
成效,0,0,0.005445784,0,0,0,0,0,0,0
成長,0,0,0.002847485,0.00737565,0.003005131,0,0,0,0,0
我輸,0,0,0.003806439,0,0,0,0,0.007347874,0,0
我鋁,0,0,0.005445784,0,0,0,0,0,0,0
所,0,0,0.005694969,0.003687825,0,0.005751542,0,0,0,0
承諾,0,0,0.016337351,0,0,0,0,0,0,0
持續,0,0,0.004918033,0.004246285,0,0.003311258,0.008403361,0.003164557,0,0
捲,0,0,0.005445784,0,0,0,0,0,0,0
採取,0,0,0.002167095,0,0,0.004377245,0.00555432,0,0,0.007263341
採行,0,0,0.003806439,0,0,0,0,0,0,0.006378923
接見,0,0,0.005445784,0,0,0,0,0,0,0
提出,0,0,0.00433419,0,0,0.013131736,0.011108639,0,0,0.003631671
擔心,0,0,0.005445784,0,0,0,0,0,0,0
擴張,0,0,0.005445784,0,0,0,0,0,0,0
救濟,0,0,0.011419318,0,0,0,0,0,0,0.006378923
整合,0,0,0.003806439,0.014789351,0,0,0,0,0,0
文告,0,0,0.011419318,0,0,0,0.019512001,0,0,0
新臺幣,0,0,0.010891568,0,0,0,0,0,0,0
方案,0,0,0.005445784,0,0,0,0,0,0,0
日,0,0,0.005061375,0.001092512,0.004451325,0.006815539,0.015134505,0.001628396,0.002479871,0
日起,0,0,0.005445784,0,0,0,0,0,0,0
時,0,0,0.005445784,0,0,0,0,0,0,0
時間,0,0,0.002847485,0,0,0.005751542,0.01459635,0,0,0
替代,0,0,0.005445784,0,0,0,0,0,0,0
最大,0,0,0.002167095,0,0.006861218,0,0.00555432,0.004183317,0,0
會,0,0,0.002847485,0,0.003005131,0,0,0,0.008370919,0
會長,0,0,0.005445784,0,0,0,0,0,0,0
月,0,0,0.002638755,0.001366998,0.004455752,0.003197961,0.005410556,0.003056279,0.003878652,0.001768836
有,0,0,0.00433419,0,0.002287073,0,0,0.004183317,0.003185369,0
有所,0,0,0.005445784,0,0,0,0,0,0,0
本日,0,0,0.005445784,0,0,0,0,0,0,0
本部,0,0,0.003806439,0,0,0,0,0,0,0.006378923
本項,0,0,0.010891568,0,0,0,0,0,0,0
核定,0,0,0.005445784,0,0,0,0,0,0,0
核心,0,0,0.005445784,0,0,0,0,0,0,0
條款,0,0,0.002847485,0,0,0.005751542,0,0,0,0.004771884
此,0,0,0.003806439,0,0,0,0,0,0,0.006378923
此外,0,0,0.003806439,0.004929784,0,0,0,0,0,0
此舉,0,0,0.005445784,0,0,0,0,0,0,0
法,0,0,0.005445784,0,0,0,0,0,0,0
法規,0,0,0.003806439,0.004929784,0,0,0,0,0,0
溝通,0,0,0.002847485,0.003687825,0,0,0.007298175,0,0,0
滿足,0,0,0.005445784,0,0,0,0,0,0,0
為止,0,0,0.003806439,0,0,0,0.009756,0,0,0
焊接,0,0,0.005445784,0,0,0,0,0,0,0
無法,0,0,0.010891568,0,0,0,0,0,0,0
特殊,0,0,0.005445784,0,0,0,0,0,0,0
理事會,0,0,0.005445784,0,0,0,0,0,0,0
產值,0,0,0.010891568,0,0,0,0,0,0,0
產業,0,0,0.002167095,0,0.009148291,0,0,0,0.015926845,0.003631671
產能,0,0,0.011419318,0,0,0,0,0,0,0.012757847
發表聲明,0,0,0.005445784,0,0,0,0,0,0,0
白宮,0,0,0.005445784,0,0,0,0,0,0,0
的,0,0,0.00337425,0.012017632,0.00890265,0.001703885,0.008648289,0,0.017359095,0.004240988
目標,0,0,0.003806439,0,0.004017177,0,0,0,0,0
直接,0,0,0.005445784,0,0,0,0,0,0,0
石油管,0,0,0.005445784,0,0,0,0,0,0,0
程序,0,0,0.001639344,0.010615711,0,0.009933775,0.004201681,0,0,0.002747253
立場,0,0,0.005445784,0,0,0,0,0,0,0
第屆,0,0,0.005445784,0,0,0,0,0,0,0
管道,0,0,0.005445784,0,0,0,0,0,0,0
組向,0,0,0.005445784,0,0,0,0,0,0,0
經濟,0,0,0.002167095,0.014033207,0.009148291,0,0,0,0.003185369,0
緊密,0,0,0.005445784,0,0,0,0,0,0,0
總,0,0,0.005694969,0.003687825,0.003005131,0,0,0,0,0
總理,0,0,0.010891568,0,0,0,0,0,0,0
總統,0,0,0.014754098,0.004246285,0.001730104,0.009933775,0.012605042,0,0,0
署,0,0,0.002847485,0,0,0.005751542,0.007298175,0,0,0
美,0,0,0.005694969,0,0.006010262,0.005751542,0,0,0,0
美國,0,0,0.018122105,0.006258731,0.002550054,0.00732085,0.018578965,0,0,0.004049262
美國商務部,0,0,0.003806439,0,0,0,0.009756,0,0,0
美方,0,0,0.011389938,0,0,0.011503083,0.01459635,0,0,0
美東,0,0,0.002847485,0,0,0.005751542,0.01459635,0,0,0
美為,0,0,0.005445784,0,0,0,0,0,0,0
美鋼品,0,0,0.005445784,0,0,0,0,0,0,0
考量,0,0,0.002847485,0,0.003005131,0,0,0,0.004185459,0
而,0,0,0.005445784,0,0,0,0,0,0,0
聯邦,0,0,0.003806439,0,0,0.015377007,0,0,0,0
肯定,0,0,0.005445784,0,0,0,0,0,0,0
與,0,0,0.005061375,0.004370048,0.00890265,0.001703885,0.006486216,0,0.004959741,0.001413663
號列,0,0,0.003806439,0,0,0,0,0.007347874,0,0
號列至,0,0,0.005445784,0,0,0,0,0,0,0
衝擊,0,0,0.005445784,0,0,0,0,0,0,0
表達,0,0,0.003806439,0.004929784,0,0,0,0,0,0
要求,0,0,0.00433419,0.002806641,0,0,0,0.004183317,0,0.007263341
規定,0,0,0.007612879,0,0,0,0,0.007347874,0,0
規範,0,0,0.007612879,0.009859567,0,0,0,0,0,0
解決,0,0,0.003806439,0,0,0.015377007,0,0,0,0
